Unnamed: 0;Title;MAL Id;Type;Number of Episodes;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score;Demographic;Year;Duration;Action;Adventure;Comedy;Drama;Fantasy;Mystery;Sci-Fi;Suspense;Romance;Slice of Life;Supernatural;Sports;Ecchi;Horror;Avant Garde;Boys Love;Gourmet;Girls Love; R - 17+ (violence & profanity)  ; PG-13 - Teens 13 or older  ; R+ - Mild Nudity  ; PG - Children  ; G - All Ages  ;TV;Movie;OVA;ONA;Special;Shounen;Shoujo;Seinen;Josei;Kids
53;Mushishi;457;TV;26;25 min. per ep.;Artland;Manga;Adventure,Fantasy,Mystery,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;194;8.67;Seinen;2005;25;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;Shigatsu wa Kimi no Uso;23273;TV;22;22 min. per ep.;A-1 Pictures;Manga;Drama,Romance;Music,School; PG-13 - Teens 13 or older  ;21;8.67;Shounen;2014;22;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;Violet Evergarden;33352;TV;13;24 min. per ep.;Kyoto Animation;Light;Drama,Fantasy,Slice of Life;N\A; PG-13 - Teens 13 or older  ;51;8.66;N\A;2018;24;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;Evangelion: 3.0+1.0 Thrice Upon a Time;3786;Movie;1;2 hr. 35 min.;Khara;Original;Action,Drama,Sci-Fi;Mecha,Psychological; PG-13 - Teens 13 or older  ;688;8.66;N\A;2021;155;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;Haikyuu!! Second Season;28891;TV;25;24 min. per ep.;Production I.G;Manga;Comedy,Drama,Sports;N\A; PG-13 - Teens 13 or older  ;83;8.66;Shounen;2015;24;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;Hajime no Ippo: New Challenger;5258;TV;26;23 min. per ep.;Madhouse;Manga;Comedy,Drama,Sports;N\A; PG-13 - Teens 13 or older  ;797;8.66;Shounen;2009;23;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;Howl no Ugoku Shiro;431;Movie;1;1 hr. 59 min.;Studio Ghibli;Novel;Adventure,Drama,Fantasy,Romance;N\A; G - All Ages  ;97;8.66;N\A;2004;119;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen;40591;TV;12;24 min. per ep.;A-1 Pictures;Manga;Comedy,Romance;Psychological,School; PG-13 - Teens 13 or older  ;116;8.66;Seinen;2020;24;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;Natsume Yuujinchou Shi;11665;TV;13;24 min. per ep.;Brain's Base;Manga;Drama,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;861;8.65;Shoujo;2012;24;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;Tengen Toppa Gurren Lagann;2001;TV;27;24 min. per ep.;Gainax;Original;Action,Adventure,Comedy,Sci-Fi;N\A; PG-13 - Teens 13 or older  ;56;8.64;N\A;2007;24;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63;Natsume Yuujinchou Roku;34591;TV;11;23 min. per ep.;Shuka;Manga;Drama,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;1168;8.63;Shoujo;2017;23;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai;38329;Movie;1;1 hr. 30 min.;CloverWorks;Light;Drama,Romance,Supernatural;N\A; PG-13 - Teens 13 or older  ;303;8.63;N\A;2019;90;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;Death Note;1535;TV;37;23 min. per ep.;Madhouse;Manga;Mystery,Supernatural,Suspense;Police,Psychological; R - 17+ (violence & profanity)  ;2;8.63;Shounen;2006;23;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;Ping Pong the Animation;22135;TV;11;23 min. per ep.;Tatsunoko Production;Manga;Drama,Sports;N\A; PG-13 - Teens 13 or older  ;539;8.62;Seinen;2014;23;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;Shingeki no Kyojin Season 3;35760;TV;12;23 min. per ep.;Wit Studio;Manga;Action,Drama,Fantasy,Mystery;Military,Super Power; R - 17+ (violence & profanity)  ;24;8.62;Shounen;2018;23;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;Suzumiya Haruhi no Shoushitsu;7311;Movie;1;2 hr. 41 min.;Kyoto Animation;Light;Mystery,Romance,Sci-Fi,Supernatural;N\A; PG-13 - Teens 13 or older  ;305;8.62;N\A;2010;161;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;Mushishi Zoku Shou: Suzu no Shizuku;28957;Movie;1;47 min.;Artland;Manga;Adventure,Fantasy,Mystery,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;1532;8.6;Seinen;2015;47;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;Ookami Kodomo no Ame to Yuki;12355;Movie;1;1 hr. 57 min.;Studio Chizu;Original;Fantasy,Slice of Life;N\A; G - All Ages  ;196;8.6;N\A;2012;117;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;Kizumonogatari II: Nekketsu-hen;31757;Movie;1;1 hr. 4 min.;Shaft;Light;Action,Mystery,Supernatural;N\A; R - 17+ (violence & profanity)  ;465;8.59;N\A;2016;64;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;Hajime no Ippo: Rising;19647;TV;25;22 min. per ep.;Madhouse,MAPPA;Manga;Comedy,Drama,Sports;N\A; PG-13 - Teens 13 or older  ;905;8.58;Shounen;2013;22;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;JoJo no Kimyou na Bouken Part 5: Ougon no Kaze;37991;TV;39;23 min. per ep.;David Production;Manga;Action,Adventure;N\A; R - 17+ (violence & profanity)  ;162;8.58;Shounen;2018;23;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;Natsume Yuujinchou Go;32983;TV;11;23 min. per ep.;Shuka;Manga;Drama,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;1174;8.58;Shoujo;2016;23;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Natsume Yuujinchou San;10379;TV;13;24 min. per ep.;Brain's Base;Manga;Drama,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;829;8.58;Shoujo;2011;24;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;Yojouhan Shinwa Taikei;7785;TV;11;23 min. per ep.;Madhouse;Novel;Comedy,Mystery,Romance;N\A; R - 17+ (violence & profanity)  ;464;8.58;N\A;2010;23;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79;Tengen Toppa Gurren Lagann Movie 2: Lagann-hen;4565;Movie;1;2 hr. 5 min.;Gainax;Original;Action,Sci-Fi;Mecha,Space,Super Power; R+ - Mild Nudity  ;983;8.57;N\A;2009;125;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;Fate/Zero 2nd Season;11741;TV;12;24 min. per ep.;ufotable;Light;Action,Fantasy,Supernatural;N\A; R - 17+ (violence & profanity)  ;114;8.57;N\A;2012;24;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;Fruits Basket 2nd Season;40417;TV;25;23 min. per ep.;TMS Entertainment;Manga;Comedy,Drama,Romance,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;496;8.57;Shoujo;2020;23;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;Kimi no Suizou wo Tabetai;36098;Movie;1;1 hr. 48 min.;Studio VOLN;Novel;Drama,Romance,Slice of Life;N\A; PG-13 - Teens 13 or older  ;195;8.57;N\A;2018;108;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;Kimetsu no Yaiba;38000;TV;26;23 min. per ep.;ufotable;Manga;Action,Supernatural;Demons,Historical; R - 17+ (violence & profanity)  ;9;8.56;Shounen;2019;23;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;Yakusoku no Neverland;37779;TV;12;22 min. per ep.;CloverWorks;Manga;Horror,Mystery,Sci-Fi,Suspense;N\A; R - 17+ (violence & profanity)  ;39;8.56;Shounen;2019;22;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
