sep=;
;Title;MAL Id;Type;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score
51;Made in Abyss Movie 3: Fukaki Tamashii no Reimei;36862;Movie;1 hr. 45 min.;['Kinema Citrus'];Web;['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi'];N\A; R - 17+ (violence & profanity)  ;590;8.69
52;Mononoke Hime;164;Movie;2 hr. 13 min.;['Studio Ghibli'];Original;['Action', 'Adventure', 'Fantasy'];N\A; PG-13 - Teens 13 or older  ;100;8.68
53;Mushishi;457;TV;25 min. per ep.;['Artland'];Manga;['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural'];N\A; PG-13 - Teens 13 or older  ;194;8.67
54;Shigatsu wa Kimi no Uso;23273;TV;22 min. per ep.;['A-1 Pictures'];Manga;['Drama', 'Romance'];['Music', 'School']; PG-13 - Teens 13 or older  ;21;8.67
55;Natsume Yuujinchou Shi;11665;TV;24 min. per ep.;"[""Brain's Base""]";Manga;['Drama', 'Slice of Life', 'Supernatural'];N\A; PG-13 - Teens 13 or older  ;863;8.66
56;Violet Evergarden;33352;TV;24 min. per ep.;['Kyoto Animation'];Light;['Drama', 'Fantasy', 'Slice of Life'];N\A; PG-13 - Teens 13 or older  ;51;8.66
57;Evangelion: 3.0+1.0 Thrice Upon a Time;3786;Movie;2 hr. 35 min.;['Khara'];Original;['Action', 'Drama', 'Sci-Fi'];['Mecha', 'Psychological']; PG-13 - Teens 13 or older  ;686;8.66
58;Haikyuu!! Second Season;28891;TV;24 min. per ep.;['Production I.G'];Manga;['Comedy', 'Drama', 'Sports'];N\A; PG-13 - Teens 13 or older  ;83;8.66
59;Hajime no Ippo: New Challenger;5258;TV;23 min. per ep.;['Madhouse'];Manga;['Comedy', 'Drama', 'Sports'];N\A; PG-13 - Teens 13 or older  ;797;8.66
60;Howl no Ugoku Shiro;431;Movie;1 hr. 59 min.;['Studio Ghibli'];Novel;['Adventure', 'Drama', 'Fantasy', 'Romance'];N\A; G - All Ages  ;97;8.66
61;Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen;40591;TV;24 min. per ep.;['A-1 Pictures'];Manga;['Comedy', 'Romance'];['Psychological', 'School']; PG-13 - Teens 13 or older  ;116;8.66
62;Tengen Toppa Gurren Lagann;2001;TV;24 min. per ep.;['Gainax'];Original;['Action', 'Adventure', 'Comedy', 'Sci-Fi'];N\A; PG-13 - Teens 13 or older  ;56;8.64
63;Natsume Yuujinchou Roku;34591;TV;23 min. per ep.;['Shuka'];Manga;['Drama', 'Slice of Life', 'Supernatural'];N\A; PG-13 - Teens 13 or older  ;1167;8.63
64;Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai;38329;Movie;1 hr. 30 min.;['CloverWorks'];Light;['Drama', 'Romance', 'Supernatural'];N\A; PG-13 - Teens 13 or older  ;303;8.63
65;Death Note;1535;TV;23 min. per ep.;['Madhouse'];Manga;['Mystery', 'Supernatural', 'Suspense'];['Police', 'Psychological']; R - 17+ (violence & profanity)  ;1;8.63
66;One Piece;21;TV;24 min.;['Toei Animation'];Manga;['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy'];N\A; PG-13 - Teens 13 or older  ;26;8.62
67;Ping Pong the Animation;22135;TV;23 min. per ep.;['Tatsunoko Production'];Manga;['Drama', 'Sports'];N\A; PG-13 - Teens 13 or older  ;540;8.62
68;Shingeki no Kyojin Season 3;35760;TV;23 min. per ep.;['Wit Studio'];Manga;['Action', 'Drama', 'Fantasy', 'Mystery'];['Military', 'Super Power']; R - 17+ (violence & profanity)  ;24;8.62
69;Suzumiya Haruhi no Shoushitsu;7311;Movie;2 hr. 41 min.;['Kyoto Animation'];Light;['Mystery', 'Romance', 'Sci-Fi', 'Supernatural'];N\A; PG-13 - Teens 13 or older  ;305;8.62
