Title;MAL Id;Type;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score
22946;Ginga Reppuu Baxingar;4242;TV;25 min. per ep.;['Kokusai Eigasha'];Original;['Action', 'Adventure'];N\A; PG-13 - Teens 13 or older  ;11235;6.17
22370;Pokemon: Pikachu to Pokemon Ongakutai;28853;Movie;15 min.;['OLM'];Game;['Adventure', 'Fantasy'];N\A; PG - Children  ;7161;6.21
1101;Kemono to Chat;6932;OVA;28 min.;['Indeprox'];4-koma;N\A;N\A; PG-13 - Teens 13 or older  ;9880;6.03
19347;Shen Qi Huan Qi Tan;36722;ONA;15 min. per ep.;['Mili Pictures'];Manga;['Action', 'Adventure', 'Fantasy', 'Mystery', 'Supernatural'];N\A; PG-13 - Teens 13 or older  ;8255;6.07
10197;Chou Tokkyuu Hikarian;5189;TV;7 min. per ep.;['add some'];Unknown;['Action', 'Adventure'];N\A; G - All Ages  ;12228;6.11
15533;Time Bokan Series: Time Patroltai Otasukeman;8553;TV;25 min. per ep.;['Tatsunoko Production'];Unknown;['Action', 'Adventure', 'Comedy', 'Sci-Fi'];N\A; G - All Ages  ;11466;6.14
38936;Kidou Shinsengumi Moeyo Ken;1058;OVA;25 min. per ep.;['add some'];Game;['Adventure', 'Comedy'];N\A; PG-13 - Teens 13 or older  ;9961;5.71
24857;Amanatsu;9595;Movie;14 min.;['Kamikaze Douga'];Original;N\A;N\A; PG-13 - Teens 13 or older  ;9248;5.94
9679;Sakura Kakumei: Hanasaku Otome-tachi;42791;ONA;23 min.;['CloverWorks'];Game;N\A;N\A; PG-13 - Teens 13 or older  ;11252;6.1
5510;Taboo Tattoo;29758;TV;24 min. per ep.;['J.C.Staff'];Manga;['Action', 'Mystery', 'Supernatural'];['Martial Arts', 'Super Power']; R - 17+ (violence & profanity)  ;742;5.76
28036;Omukaisan;41796;Movie;8 min.;['add some'];Original;['Avant Garde', 'Drama'];N\A; G - All Ages  ;16342;5.74
37227;Harukana Receive: Yokoku;38067;ONA;20 sec. per ep.;['C2C'];Manga;N\A;N\A; PG - Children  ;8651;5.96
10257;Kirin Ashita no Calendar;32448;TV;5 min. per ep.;['add some'];Unknown;N\A;N\A; G - All Ages  ;13585;5.81
34659;Akai Shouzou: Char, Soshite Frontal e;14007;Special;1 hr. 45 min.;['Sunrise'];Unknown;['Drama', 'Sci-Fi'];['Mecha', 'Military', 'Space']; PG-13 - Teens 13 or older  ;9935;6.04
39209;Kiss wa Hitomi ni Shite;2092;OVA;31 min.;['Madhouse'];Manga;['Drama', 'Romance'];N\A; PG-13 - Teens 13 or older  ;10974;5.8
2139;Makyou Densetsu Acrobunch;3880;TV;25 min. per ep.;['add some'];Unknown;N\A;N\A; PG-13 - Teens 13 or older  ;11170;5.97
22369;Kawasaki Frontale x Tentai Senshi Sunred 2nd Season;8196;Special;2 min.;['AIC ASTA'];Manga;['Comedy', 'Sports'];['Parody', 'Super Power']; PG-13 - Teens 13 or older  ;12927;5.73
12530;Fushigi na Melmo;5476;TV;24 min. per ep.;['Mushi Production', 'Tezuka Productions'];Manga;N\A;N\A; PG - Children  ;10634;6.2
5534;Senkou no Night Raid: Aruku Hako;10201;Special;18 min.;['A-1 Pictures'];Original;N\A;['Historical', 'Super Power']; PG-13 - Teens 13 or older  ;9129;6.21
15382;Aoi Sekai no Chuushin de;15133;Special;23 min. per ep.;['Fifth Avenue'];Manga;['Action', 'Adventure', 'Fantasy', 'Ecchi'];N\A; R+ - Mild Nudity  ;2663;5.72
