;Title;MAL Id;Type;Number of Episodes;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score;Demographic;Year
5091;Aru Nihon no Ekaki Shounen;48992;Movie;1;21 min.;add some;Original;Avant Garde,Comedy;N\A; R+ - Mild Nudity  ;15619;6.68;N\A;2019
5092;Bakuman. 2nd Season Special;23369;Special;1;4 min.;J.C.Staff;Manga;N\A;N\A; PG-13 - Teens 13 or older  ;4668;6.68;N\A;2012
5093;Bakuretsu Hunters;495;TV;26;25 min. per ep.;Xebec;Manga;Adventure,Comedy,Fantasy,Supernatural,Ecchi;N\A; R - 17+ (violence & profanity)  ;4178;6.68;Shounen;1995
5094;Bakuretsu Tenshi: Infinity Special;2212;Special;1;3 min.;Gonzo;Original;Action,Sci-Fi;N\A; PG-13 - Teens 13 or older  ;6877;6.68;N\A;2007
5095;Bakuten Shoot Beyblade 2002;1669;TV;51;21 min. per ep.;Nippon Animation;Manga;Action,Adventure,Comedy,Sci-Fi,Sports;N\A; PG - Children  ;2309;6.68;Shounen;2002
5096;Captain Tsubasa: Asu ni Mukatte Hashire!;2120;Movie;1;35 min.;add some;Unknown;Action,Sports;N\A; G - All Ages  ;7566;6.68;Shounen;1986
5097;Cheer Danshi!!;32483;TV;12;24 min. per ep.;Brain's Base;Novel;Drama,Sports;N\A; PG-13 - Teens 13 or older  ;2336;6.68;N\A;2016
5098;Chou Denji Robo Combattler V;1068;TV;54;25 min. per ep.;Sunrise,Toei Animation;Unknown;Adventure,Sci-Fi;N\A; PG-13 - Teens 13 or older  ;8481;6.68;Shounen;1976
5099;Concrete Revolutio: Choujin Gensou;31147;TV;13;24 min. per ep.;Bones;Original;Action,Drama,Fantasy,Mystery,Sci-Fi,Supernatural;Demons,Super Power; PG-13 - Teens 13 or older  ;1921;6.68;N\A;2015
5100;Daisetsusan no Yuusha Kibaou;6202;Special;1;1 hr. 7 min.;Nippon Animation;Unknown;Adventure,Drama;N\A; PG-13 - Teens 13 or older  ;11745;6.68;N\A;1978
5101;Digimon Xros Wars;8624;TV;30;25 min. per ep.;Toei Animation;Original;Action,Adventure,Comedy,Fantasy;N\A; PG - Children  ;2739;6.68;Shounen;2010
5102;Fresh Precure! Movie: Omocha no Kuni wa Himitsu ga Ippai!?;6527;Movie;1;1 hr. 10 min.;Toei Animation;Original;Action,Comedy,Fantasy;N\A; G - All Ages  ;7669;6.68;Shoujo;2009
5103;Future Card Buddyfight Battsu: All-Star Fight;37611;TV;8;24 min. per ep.;Xebec,OLM;Card;N\A;N\A; PG - Children  ;9791;6.68;N\A;2018
5104;Gakuen Handsome;33392;TV;12;3 min. per ep.;Team YokkyuFuman;Game;Boys Love,Comedy;Parody,School; PG-13 - Teens 13 or older  ;3064;6.68;N\A;2016
5105;Grimm Douwa: Kin no Tori;3760;Movie;1;52 min.;Madhouse,Toei Animation;Other;Adventure,Fantasy;N\A; G - All Ages  ;10073;6.68;N\A;1987
5106;Haunted Junction;646;TV;12;24 min. per ep.;Studio Deen;Manga;Comedy,Supernatural;N\A; PG-13 - Teens 13 or older  ;7823;6.68;Shounen;1997
