;Title;MAL Id;Type;Number of Episodes;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score;Demographic;Year
13;Koe no Katachi;28851;Movie;1;2 hr. 10 min.;Kyoto Animation;Manga;N\A;N\A; PG-13 - Teens 13 or older  ;20;8.96;Shounen;2016
14;Violet Evergarden Movie;37987;Movie;1;2 hr. 20 min.;Kyoto Animation;Light;Drama,Fantasy,Slice of Life;N\A; PG-13 - Teens 13 or older  ;443;8.96;N\A;2020
15;Clannad: After Story;4181;TV;24;24 min. per ep.;Kyoto Animation;Visual;Comedy,Drama,Romance,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;101;8.95;N\A;2008
16;Gintama;918;TV;201;24 min. per ep.;Sunrise;Manga;Action,Comedy,Sci-Fi;Historical,Parody,Samurai; PG-13 - Teens 13 or older  ;124;8.95;Shounen;2006
17;Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare;15335;Movie;1;1 hr. 50 min.;Sunrise;Manga;Action,Comedy,Sci-Fi;Historical,Parody,Samurai; PG-13 - Teens 13 or older  ;927;8.93;Shounen;2013
18;Code Geass: Hangyaku no Lelouch R2;2904;TV;25;24 min. per ep.;Sunrise;Original;Action,Drama,Sci-Fi;Mecha,Military,Super Power; R - 17+ (violence & profanity)  ;46;8.91;N\A;2008
19;Kimetsu no Yaiba: Yuukaku-hen;47778;TV;11;23 min. per ep.;ufotable;Manga;Action,Supernatural;Demons,Historical; R - 17+ (violence & profanity)  ;221;8.91;Shounen;2021
20;Owarimonogatari 2nd Season;35247;TV;7;22 min. per ep.;Shaft;Light;Comedy,Mystery,Supernatural;N\A; R - 17+ (violence & profanity)  ;530;8.91;N\A;2017
21;Gintama.: Shirogane no Tamashii-hen - Kouhan-sen;37491;TV;14;24 min. per ep.;Bandai Namco Pictures;Manga;Action,Comedy,Sci-Fi;Historical,Parody,Samurai; PG-13 - Teens 13 or older  ;1194;8.89;Shounen;2018
22;Kimi no Na wa.;32281;Movie;1;1 hr. 46 min.;CoMix Wave Films;Original;Drama,Romance,Supernatural;N\A; PG-13 - Teens 13 or older  ;11;8.88;N\A;2016
23;Shingeki no Kyojin: The Final Season;40028;TV;16;23 min. per ep.;MAPPA;Manga;Action,Drama,Fantasy,Mystery;Military,Super Power; R - 17+ (violence & profanity)  ;57;8.88;Shounen;2020
24;Shiguang Dailiren;44074;ONA;11;23 min. per ep.;Studio LAN;Original;Drama,Supernatural;N\A; PG-13 - Teens 13 or older  ;1200;8.83;N\A;2021
25;Monster;19;TV;74;24 min. per ep.;Madhouse;Manga;Drama,Mystery,Suspense;N\A; R+ - Mild Nudity  ;156;8.82;Seinen;2004
26;Gintama.: Shirogane no Tamashii-hen;36838;TV;12;24 min. per ep.;Bandai Namco Pictures;Manga;Action,Comedy,Sci-Fi;Historical,Parody,Samurai; PG-13 - Teens 13 or older  ;1089;8.82;Shounen;2018
27;Kizumonogatari III: Reiketsu-hen;31758;Movie;1;1 hr. 23 min.;Shaft;Light;Action,Mystery,Supernatural;N\A; R - 17+ (violence & profanity)  ;453;8.81;N\A;2017
28;Mob Psycho 100 II;37510;TV;13;24 min. per ep.;Bones;Web;Action,Comedy,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;87;8.81;N\A;2019
29;Ousama Ranking;40834;TV;23;23 min. per ep.;Wit Studio;Web;Adventure,Fantasy;N\A; PG-13 - Teens 13 or older  ;659;8.81;N\A;2021
30;Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou;32935;TV;10;24 min. per ep.;Production I.G;Manga;Comedy,Drama,Sports;N\A; PG-13 - Teens 13 or older  ;111;8.80;Shounen;2016
31;Sen to Chihiro no Kamikakushi;199;Movie;1;2 hr. 4 min.;Studio Ghibli;Original;Adventure,Award Winning,Drama,Supernatural;N\A; PG - Children  ;43;8.79;N\A;2001
32;Monogatari Series: Second Season;17074;TV;26;25 min. per ep.;Shaft;Light;Comedy,Mystery,Romance,Supernatural;N\A; R - 17+ (violence & profanity)  ;267;8.78;N\A;2013
33;Mushoku Tensei: Isekai Ittara Honki Dasu Part 2;45576;TV;12;23 min. per ep.;Studio Bind;Light;Drama,Fantasy,Ecchi;N\A; R - 17+ (violence & profanity)  ;336;8.77;N\A;2021
34;Odd Taxi;46102;TV;13;23 min. per ep.;OLM,P.I.C.S.;Original;N\A;N\A; PG-13 - Teens 13 or older  ;855;8.77;N\A;2021
35;Kingdom 3rd Season;40682;TV;26;25 min. per ep.;Pierrot Plus,Studio Signpost;Manga;N\A;Historical,Military; R - 17+ (violence & profanity)  ;2311;8.77;Seinen;2020
36;Cowboy Bebop;1;TV;26;24 min. per ep.;Sunrise;Original;Action,Adventure,Comedy,Drama,Sci-Fi;N\A; R - 17+ (violence & profanity)  ;42;8.76;N\A;1998
37;Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen;33095;TV;12;24 min. per ep.;Studio Deen;Manga;N\A;N\A; PG-13 - Teens 13 or older  ;1128;8.75;Josei;2017
38;Mushishi Zoku Shou 2nd Season;24701;TV;10;23 min. per ep.;Artland;Manga;Adventure,Fantasy,Mystery,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;811;8.74;Seinen;2014
39;Hajime no Ippo;263;TV;75;23 min. per ep.;Madhouse;Manga;Comedy,Drama,Sports;N\A; PG-13 - Teens 13 or older  ;367;8.74;Shounen;2000
40;Fate/stay night Movie: Heaven's Feel - III. Spring Song;33050;Movie;1;2 hr. 2 min.;ufotable;Visual;Action,Fantasy,Supernatural;N\A; R - 17+ (violence & profanity)  ;743;8.73;N\A;2020
41;Vinland Saga;37521;TV;24;24 min. per ep.;Wit Studio;Manga;Action,Adventure,Drama;N\A; R - 17+ (violence & profanity)  ;105;8.73;Seinen;2019
42;Mo Dao Zu Shi: Wanjie Pian;40434;ONA;12;24 min. per ep.;B.CMAY PICTURES;Web;Action,Drama,Supernatural;Demons,Historical; R - 17+ (violence & profanity)  ;2651;8.71;N\A;2021
43;Mushishi Zoku Shou;21939;TV;10;24 min. per ep.;Artland;Manga;Adventure,Fantasy,Mystery,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;711;8.71;Seinen;2014
44;Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen;44;OVA;4;30 min. per ep.;Studio Deen;Manga;Action,Drama,Romance;Historical,Martial Arts,Samurai; R - 17+ (violence & profanity)  ;746;8.71;Shounen;1999
45;Jujutsu Kaisen (TV);40748;TV;24;23 min. per ep.;MAPPA;Manga;Action,Supernatural;Demons,School; R - 17+ (violence & profanity)  ;38;8.71;Shounen;2020
46;Ashita no Joe 2;2921;TV;47;24 min. per ep.;Tokyo Movie Shinsha;Manga;Action,Drama,Slice of Life,Sports;N\A; PG-13 - Teens 13 or older  ;2924;8.70;Shounen;1980
47;Code Geass: Hangyaku no Lelouch;1575;TV;25;24 min. per ep.;Sunrise;Original;Action,Drama,Sci-Fi;Mecha,Military,School,Super Power; R - 17+ (violence & profanity)  ;17;8.70;N\A;2006
48;Kimetsu no Yaiba Movie: Mugen Ressha-hen;40456;Movie;1;1 hr. 56 min.;ufotable;Manga;N\A;Demons,Historical; R - 17+ (violence & profanity)  ;120;8.70;Shounen;2020
49;Great Teacher Onizuka;245;TV;43;25 min. per ep.;Studio Pierrot;Manga;Comedy,Drama;N\A; R - 17+ (violence & profanity)  ;208;8.69;Shounen;1999
50;Made in Abyss;34599;TV;13;25 min. per ep.;Kinema Citrus;Web;Adventure,Drama,Fantasy,Mystery,Sci-Fi;N\A; R - 17+ (violence & profanity)  ;95;8.69;N\A;2017
51;Made in Abyss Movie 3: Fukaki Tamashii no Reimei;36862;Movie;1;1 hr. 45 min.;Kinema Citrus;Web;Adventure,Drama,Fantasy,Mystery,Sci-Fi;N\A; R - 17+ (violence & profanity)  ;591;8.69;N\A;2020
52;Mononoke Hime;164;Movie;1;2 hr. 13 min.;Studio Ghibli;Original;Action,Adventure,Fantasy;N\A; PG-13 - Teens 13 or older  ;100;8.68;N\A;1997
53;Mushishi;457;TV;26;25 min. per ep.;Artland;Manga;Adventure,Fantasy,Mystery,Slice of Life,Supernatural;N\A; PG-13 - Teens 13 or older  ;194;8.67;Seinen;2005
54;Shigatsu wa Kimi no Uso;23273;TV;22;22 min. per ep.;A-1 Pictures;Manga;Drama,Romance;Music,School; PG-13 - Teens 13 or older  ;21;8.67;Shounen;2014
55;Violet Evergarden;33352;TV;13;24 min. per ep.;Kyoto Animation;Light;Drama,Fantasy,Slice of Life;N\A; PG-13 - Teens 13 or older  ;51;8.66;N\A;2018
56;Evangelion: 3.0+1.0 Thrice Upon a Time;3786;Movie;1;2 hr. 35 min.;Khara;Original;Action,Drama,Sci-Fi;Mecha,Psychological; PG-13 - Teens 13 or older  ;688;8.66;N\A;2021
57;Haikyuu!! Second Season;28891;TV;25;24 min. per ep.;Production I.G;Manga;Comedy,Drama,Sports;N\A; PG-13 - Teens 13 or older  ;83;8.66;Shounen;2015
58;Hajime no Ippo: New Challenger;5258;TV;26;23 min. per ep.;Madhouse;Manga;Comedy,Drama,Sports;N\A; PG-13 - Teens 13 or older  ;797;8.66;Shounen;2009
