Title;MAL Id;Type;Number of Episodes;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score;Demographic;Year;Duration;Action;Adventure;Comedy;Drama;Fantasy;Mystery;Sci-Fi;Suspense;Romance;Slice of Life;Supernatural;Sports;Ecchi;Horror;Avant Garde;Boys Love;Gourmet;Girls Love;Military;Super Power;Historical;Parody;Samurai;Space;Mecha;Demons;Martial Arts;School;Psychological;Police;Game;Harem;Vampire;Manga;Visual;Novel;Light;Original;Web;4-koma;Book;Picture;Card;Mixed; R - 17+ (violence & profanity)  ; PG-13 - Teens 13 or older  ; R+ - Mild Nudity  ; PG - Children  ; G - All Ages  ;TV;Movie;OVA;ONA;Special;Shounen;Shoujo;Seinen;Josei;Kids
Lupin III: Nusumareta Lupin;1429;Special;1;1 hr. 31 min.;TMS Entertainment;Manga;Action,Adventure,Comedy,Mystery;N\A; PG-13 - Teens 13 or older  ;2933;7.04;Seinen;2004;91;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0
A.D. Police (TV);1349;TV;12;24 min. per ep.;Plum;Original;Action,Sci-Fi;N\A; PG-13 - Teens 13 or older  ;5843;5.95;N\A;1999;24;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Tales of Zestiria the Cross: Saiyaku no Jidai;33558;Special;1;23 min.;ufotable;Game;Action,Adventure,Fantasy;N\A; PG-13 - Teens 13 or older  ;2218;7.25;N\A;2016;23;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Ranma ½: Yomigaeru Kioku;1008;OVA;2;30 min. per ep.;Gainax,Studio Deen;Manga;Comedy,Drama,Romance;N\A; PG-13 - Teens 13 or older  ;1122;7.61;Shounen;1994;30;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0
M3: Sono Kuroki Hagane;23133;TV;24;24 min. per ep.;Satelight;Original;Action,Drama,Mystery,Sci-Fi;Mecha,Psychological; R - 17+ (violence & profanity)  ;4259;6.59;N\A;2014;24;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Soredemo Machi wa Mawatteiru;8726;TV;12;24 min. per ep.;Shaft;Manga;Comedy,Slice of Life;N\A; PG-13 - Teens 13 or older  ;1541;7.44;Seinen;2010;24;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0
Higanjima X;34222;ONA;12;3 min. per ep.;add some;Manga;Fantasy,Horror;N\A; R - 17+ (violence & profanity)  ;6173;5.7;Seinen;2016;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Cooking Papa;8123;TV;151;25 min. per ep.;Eiken;Manga;Comedy,Gourmet,Slice of Life;N\A; G - All Ages  ;4290;6.58;N\A;1992;25;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Cestvs: The Roman Fighter;43763;TV;11;22 min. per ep.;Bandai Namco Pictures;Manga;Action,Drama;N\A; PG-13 - Teens 13 or older  ;5808;5.97;Seinen;2021;22;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0
Fate/kaleid liner Prisma☆Illya 3rei!!;31706;TV;12;24 min. per ep.;SILVER LINK.;Manga;Action,Comedy,Fantasy;N\A; PG-13 - Teens 13 or older  ;1311;7.53;N\A;2016;24;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Happiness!;1570;TV;12;25 min. per ep.;Artland;Visual;Comedy,Romance;Harem,School; PG-13 - Teens 13 or older  ;4901;6.38;N\A;2006;25;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Marginal Prince: Gekkeiju no Ouji-tachi;1912;TV;13;24 min. per ep.;Tokyo Kids;Visual;Boys Love,Romance;N\A; PG-13 - Teens 13 or older  ;6005;5.83;N\A;2006;24;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys;8364;Movie;1;1 hr. 37 min.;Shin-Ei Animation;Manga;Action,Adventure,Comedy,Fantasy;N\A; G - All Ages  ;2736;7.1;Seinen;2004;97;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0
Shen Ming Zhi Zhou;33760;ONA;12;16 min. per ep.;Haoliners Animation League;Manga;Adventure,Fantasy;N\A; PG-13 - Teens 13 or older  ;5139;6.28;N\A;2015;16;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
Devilman: Crybaby;35120;ONA;10;25 min. per ep.;Science SARU;Manga;Action,Avant Garde,Horror,Supernatural;N\A; R+ - Mild Nudity  ;792;7.78;N\A;2018;25;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
One Piece: Episode of Sorajima;37902;Special;1;1 hr. 45 min.;Toei Animation;Manga;Action,Adventure,Comedy,Drama,Fantasy;N\A; PG-13 - Teens 13 or older  ;2566;7.15;Shounen;2018;105;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0
Kyou Kara Maou! Recap;39810;Special;1;25 min.;add some;Light;Adventure,Comedy,Fantasy;N\A; PG-13 - Teens 13 or older  ;5755;6.01;N\A;2005;25;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Kyou no 5 no 2;837;OVA;4;29 min. per ep.;Shinkuukan;Manga;Comedy,Ecchi;N\A; PG-13 - Teens 13 or older  ;2323;7.22;Seinen;2006;29;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
