sep=;
;Title;MAL Id;Type;Episode Duration;Studios;Source Type;Genres;Themes;Rating;Popularity;Score
79;Tengen Toppa Gurren Lagann Movie 2: Lagann-hen;4565;Movie;2 hr. 5 min.;['Gainax'];Original;['Action', 'Sci-Fi'];['Mecha', 'Space', 'Super Power'];N\A;986;8.57
80;Fate/Zero 2nd Season;11741;TV;24 min. per ep.;['ufotable'];Light;['Action', 'Fantasy', 'Supernatural'];N\A;N\A;114;8.57
81;Fruits Basket 2nd Season;40417;TV;23 min. per ep.;['TMS Entertainment'];Manga;['Comedy', 'Drama', 'Romance', 'Slice of Life', 'Supernatural'];N\A;N\A;496;8.57
82;JoJo no Kimyou na Bouken Part 6: Stone Ocean;48661;ONA;24 min.;['David Production'];Manga;['Action', 'Adventure'];N\A;N\A;627;8.57
83;Kimi no Suizou wo Tabetai;36098;Movie;1 hr. 48 min.;['Studio VOLN'];Novel;['Drama', 'Romance', 'Slice of Life'];N\A;N\A;195;8.57
84;Kimetsu no Yaiba;38000;TV;23 min. per ep.;['ufotable'];Manga;['Action', 'Supernatural'];['Demons', 'Historical'];N\A;9;8.56
85;Yakusoku no Neverland;37779;TV;22 min. per ep.;['CloverWorks'];Manga;['Horror', 'Mystery', 'Sci-Fi', 'Suspense'];N\A;N\A;39;8.56
86;Zoku Natsume Yuujinchou;5300;TV;24 min. per ep.;"[""Brain's Base""]";Manga;['Drama', 'Slice of Life', 'Supernatural'];N\A;N\A;837;8.56
87;Mushishi: Hihamukage;21329;Special;45 min.;['Artland'];Manga;['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural'];N\A;N\A;1444;8.55
88;Bakuman. 3rd Season;12365;TV;24 min. per ep.;['J.C.Staff'];Manga;['Comedy', 'Drama', 'Romance'];N\A;N\A;600;8.55
89;Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly;33049;Movie;1 hr. 57 min.;['ufotable'];Visual;['Action', 'Fantasy', 'Supernatural'];N\A;N\A;593;8.54
90;Haikyuu!!: To the Top 2nd Season;40776;TV;23 min. per ep.;['Production I.G'];Manga;['Comedy', 'Drama', 'Sports'];N\A;N\A;270;8.54
91;Kara no Kyoukai 5: Mujun Rasen;4282;Movie;1 hr. 54 min.;['ufotable'];Light;['Action', 'Drama', 'Mystery', 'Romance', 'Supernatural', 'Suspense'];N\A;N\A;881;8.54
92;Neon Genesis Evangelion: The End of Evangelion;32;Movie;1 hr. 26 min.;['Gainax', 'Production I.G'];Original;['Avant Garde', 'Drama', 'Sci-Fi'];['Mecha', 'Psychological'];N\A;171;8.54
93;Sora yori mo Tooi Basho;35839;TV;23 min. per ep.;['Madhouse'];Original;['Adventure', 'Comedy', 'Drama'];N\A;N\A;411;8.54
94;Yuru Camp△ Season 2;38474;TV;23 min. per ep.;['C-Station'];Manga;['Comedy', 'Slice of Life'];N\A;N\A;1087;8.54
95;Slam Dunk;170;TV;23 min. per ep.;['Toei Animation'];Manga;['Comedy', 'Drama', 'Sports'];N\A;N\A;761;8.53
96;Gintama.: Porori-hen;35843;TV;23 min. per ep.;['Bandai Namco Pictures'];Manga;['Action', 'Comedy', 'Sci-Fi'];['Historical', 'Parody', 'Samurai'];N\A;1119;8.53
97;Koukaku Kidoutai: Stand Alone Complex 2nd GIG;801;TV;25 min. per ep.;['Production I.G'];Manga;['Action', 'Mystery', 'Sci-Fi'];['Mecha', 'Military', 'Police'];N\A;908;8.53
98;Gintama Movie 1: Shinyaku Benizakura-hen;7472;Movie;1 hr. 35 min.;['Sunrise'];Manga;['Action', 'Comedy', 'Sci-Fi'];['Historical', 'Parody', 'Samurai'];N\A;1296;8.52
99;Kenpuu Denki Berserk;33;TV;25 min. per ep.;['OLM'];Manga;['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Supernatural'];['Demons', 'Military'];N\A;332;8.52
100;One Punch Man;30276;TV;24 min. per ep.;['Madhouse'];Web;['Action', 'Comedy', 'Sci-Fi', 'Supernatural'];['Parody', 'Super Power'];N\A;4;8.52
101;Perfect Blue;437;Movie;1 hr. 21 min.;['Madhouse'];Novel;['Avant Garde', 'Drama', 'Horror'];N\A;N\A;320;8.52
102;Shingeki no Kyojin;16498;TV;24 min. per ep.;['Wit Studio'];Manga;['Action', 'Drama', 'Fantasy', 'Mystery'];['Military', 'Super Power'];N\A;2;8.52
